StartDate,Site,Treatment,Distance,Petri_dish_weight,Petri_dish_weight_plus_PF_sample,Biomass
2023-07-31,10,A,5m,3.3359,5.7332,2.3973
2023-07-31,11,A,0m,3.2051,3.757,0.5519
2023-07-31,11,A,5m,3.3539,4.8284,1.4745
2023-07-31,12,A,0m,3.1851,10.8919,7.7068
2023-07-31,12,A,5m,3.0077,3.8775,0.8698
2023-08-05,1,A,0m,3.1822,9.4372,6.255
2023-08-05,1,A,5m,3.0447,4.7988,1.7541
2023-08-05,2,C,0m,3.0764,4.8074,1.731
2023-08-05,2,C,5m,3.0903,3.4829,0.3926
2023-08-05,3,A,0m,3.1763,5.03,1.8537
2023-08-05,3,A,5m,3.0393,4.3536,1.3143
2023-08-05,4,W,0m,3.2242,6.4991,3.2749
2023-08-05,4,W,5m,3.134,4.5679,1.4339
2023-08-05,5,W,0m,3.0505,8.7256,5.6751
2023-08-05,5,W,5m,3.0931,7.9459,4.8528
2023-08-05,6,C,0m,3.3317,5.6657,2.334
2023-08-05,6,C,5m,2.9981,3.9027,0.9046
2023-08-05,7,W,0m,3.0485,5.6736,2.6251
2023-08-05,7,W,5m,3.1192,3.3926,0.2734
2023-08-05,8,A,0m,3.1412,8.3012,5.16
2023-08-05,8,A,5m,3.1848,4.9854,1.8006
2023-08-05,9,C,0m,3.209,4.12,0.911
2023-08-05,9,C,5m,3.0233,3.2381,0.2148
2023-08-05,10,C,0m,3.3019,4.9351,1.6332
2023-08-05,10,C,5m,3.0135,4.7205,1.707
2023-08-05,11,C,0m,3.2084,3.4331,0.2247
2023-08-05,11,C,5m,3.1102,4.4583,1.3481
2023-08-05,12,C,0m,3.1007,6.1102,3.0095
2023-08-05,12,C,5m,3.0416,4.8596,1.818
2023-08-10,1,C,0m,3.2236,6.0211,2.7975
2023-08-10,1,C,5m,3.0027,5.1354,2.1327
2023-08-10,2,A,0m,3.278,5.7211,2.4431
2023-08-10,2,A,5m,3.0591,4.0767,1.0176
2023-08-10,3,C,0m,3.0373,4.2069,1.1696
2023-08-10,3,C,5m,3.0379,3.3685,0.3306
2023-08-10,4,C,0m,3.078,3.9683,0.8903
2023-08-10,4,C,5m,3.0724,6.3461,3.2737
2023-08-10,5,C,0m,3.1645,5.3544,2.1899
2023-08-10,5,C,5m,3.1566,6.1226,2.966
2023-08-10,6,A,0m,3.3151,5.2336,1.9185
2023-08-10,6,A,5m,3.1975,4.8314,1.6339
2023-08-10,7,C,0m,3.2593,5.0178,1.7585
2023-08-10,7,C,5m,3.2027,3.4351,0.2324
2023-08-10,8,C,0m,3.0961,5.0726,1.9765
2023-08-10,8,C,5m,3.2056,5.6604,2.4548
2023-08-10,9,A,0m,3.1654,7.0102,3.8448
2023-08-10,9,A,5m,3.1874,4.5267,1.3393
2023-08-10,10,W,0m,3.0642,5.2439,2.1797
2023-08-10,10,W,5m,3.2416,5.3783,2.1367
2023-08-10,11,W,0m,3.1336,7.6095,4.4759
2023-08-10,11,W,5m,3.19,7.5973,4.4073
2023-08-10,12,W,0m,3.1462,9.603,6.4568
2023-08-10,12,W,5m,3.1599,4.0666,0.9067
2023-08-15,1,W,0m,3.192,8.8134,5.6214
2023-08-15,1,W,5m,3.0984,4.2806,1.1822
2023-08-15,2,C,0m,3.4208,4.0526,0.6318
2023-08-15,2,C,5m,3.1843,3.7071,0.5228
2023-08-15,3,W,0m,3.0915,4.8427,1.7512
2023-08-15,3,W,5m,3.165,3.2855,0.1205
2023-08-15,4,A,0m,3.0803,4.7572,1.6769
2023-08-15,4,A,5m,3.1345,5.1387,2.0042
2023-08-15,5,A,0m,3.1014,4.9001,1.7987
2023-08-15,5,A,5m,3.3523,6.6926,3.3403
2023-08-15,6,C,0m,3.2921,3.7839,0.4918
2023-08-15,6,C,5m,3.1794,3.4059,0.2265
2023-08-15,7,A,0m,3.2029,4.4844,1.2815
2023-08-15,7,A,5m,3.1734,3.5443,0.3709
2023-08-15,8,W,0m,3.3186,6.2807,2.9621
2023-08-15,8,W,5m,3.1596,5.049,1.8894
2023-08-15,9,C,0m,3.1111,3.6041,0.493
2023-08-15,9,C,5m,3.2103,3.8208,0.6105
2023-08-15,10,C,0m,3.1088,3.1185,0.00970000000000004
2023-08-15,10,C,5m,3.1294,3.4275,0.2981
2023-08-15,11,C,0m,3.1385,3.2215,0.0829999999999997
2023-08-15,11,C,5m,3.1442,6.0884,2.9442
2023-08-15,12,C,0m,3.0568,4.8016,1.7448
2023-08-15,12,C,5m,3.3282,4.1493,0.8211
2023-08-20,1,C,0m,3.323,5.1546,1.8316
2023-08-20,1,C,5m,3.1897,3.9897,0.8
2023-08-20,2,W,0m,3.161,3.5394,0.3784
2023-08-20,2,W,5m,3.1341,4.377,1.2429
2023-08-20,3,C,0m,3.2808,3.817,0.5362
2023-08-20,3,C,5m,3.2559,3.2984,0.0425
2023-08-20,4,C,0m,3.1494,5.0928,1.9434
2023-08-20,4,C,5m,3.1231,5.0725,1.9494
2023-08-20,5,C,0m,3.1724,4.1387,0.9663
2023-08-20,5,C,5m,3.157,4.4067,1.2497
2023-08-20,6,,0m,3.0877,3.364,0.2763
2023-08-20,6,,5m,3.3344,3.4614,0.127
2023-08-20,7,,0m,3.4044,3.8337,0.4293
2023-08-20,7,,5m,3.2458,3.6866,0.4408
2023-08-20,8,,0m,3.1483,5.0654,1.9171
2023-08-20,8,,5m,3.2731,3.8171,0.544
2023-08-20,9,,0m,3.3151,3.8551,0.54
2023-08-20,9,,5m,3.3043,3.6419,0.3376
2023-08-20,10,,0m,3.2425,3.9124,0.6699
2023-08-20,10,,5m,3.1789,3.3721,0.1932
2023-08-20,11,,0m,3.2717,3.4089,0.1372
2023-08-20,11,,5m,3.1477,3.4647,0.317
2023-08-20,12,,0m,3.1527,4.2744,1.1217
2023-08-20,12,,5m,3.2645,3.8223,0.5578
2023-08-25,1,A,0m,3.1823,12.8807,9.6984
2023-08-25,1,A,5m,3.2446,6.1274,2.8828
2023-08-25,2,C,0m,3.0917,4.0473,0.9556
2023-08-25,2,C,5m,3.1699,4.4201,1.2502
2023-08-25,3,A,0m,3.1111,4.5978,1.4867
2023-08-25,3,A,5m,3.1905,3.7406,0.5501
2023-08-25,4,W,0m,3.1627,5.9246,2.7619
2023-08-25,4,W,5m,3.1169,4.259,1.1421
2023-08-25,5,W,0m,3.1311,5.0497,1.9186
2023-08-25,5,W,5m,3.0204,4.1802,1.1598
2023-08-25,6,C,0m,3.1021,3.8106,0.7085
2023-08-25,6,C,5m,3.2276,3.9668,0.7392
2023-08-25,7,W,0m,2.9952,5.2985,2.3033
2023-08-25,7,W,5m,2.9573,3.1171,0.1598
2023-08-25,8,A,0m,3.416,4.5468,1.1308
2023-08-25,8,A,5m,2.9629,3.149,0.1861
2023-08-25,9,C,0m,3.1288,3.8857,0.7569
2023-08-25,9,C,5m,2.9956,3.0171,0.0215000000000001
2023-08-25,10,C,0m,2.9993,3.9187,0.9194
2023-08-25,10,C,5m,3.1452,3.3551,0.2099
2023-08-25,11,C,0m,2.9946,3.4105,0.4159
2023-08-25,11,C,5m,2.9995,4.5228,1.5233
2023-08-25,12,C,0m,3.1224,5.2469,2.1245
2023-08-25,12,C,5m,3.08,4.4432,1.3632
2023-08-30,1,C,0m,3.1854,4.7843,1.5989
2023-08-30,1,C,5m,3.1443,5.639,2.4947
2023-08-30,2,A,0m,3.1654,4.2731,1.1077
2023-08-30,2,A,5m,3.126,4.0336,0.9076
2023-08-30,3,C,0m,3.2165,4.6254,1.4089
2023-08-30,3,C,5m,3.2192,3.7349,0.5157
2023-08-30,4,C,0m,3.165,4.5392,1.3742
2023-08-30,4,C,5m,3.2009,3.9773,0.7764
2023-08-30,5,C,0m,3.2879,4.7145,1.4266
2023-08-30,5,C,5m,3.1724,4.8986,1.7262
2023-08-30,6,A,0m,3.4034,5.8766,2.4732
2023-08-30,6,A,5m,3.2813,3.8354,0.5541
2023-08-30,7,C,0m,3.1503,5.9343,2.784
2023-08-30,7,C,5m,3.0431,3.5933,0.5502
2023-08-30,8,C,0m,3.295,4.0891,0.7941
2023-08-30,8,C,5m,3.181,3.8881,0.7071
2023-08-30,9,A,0m,3.1768,3.803,0.6262
2023-08-30,9,A,5m,3.1735,3.5649,0.3914
2023-08-30,10,W,0m,3.1226,3.4803,0.3577
2023-08-30,10,W,5m,3.1916,3.8493,0.6577
2023-08-30,11,W,0m,3.1002,3.4627,0.3625
2023-08-30,11,W,5m,3.1085,3.9188,0.8103
2023-08-30,12,,0m,NO DATA,,#VALUE!
2023-08-30,12,,5m,NO DATA,,#VALUE!
2023-09-10,1,,0m,,,0
2023-09-10,1,,5m,,,0
2023-09-10,2,A,0m,3.1917,6.1021,2.9104
2023-09-10,2,A,5m,3.3218,4.2463,0.9245
2023-09-10,3,C,0m,3.0768,5.4245,2.3477
2023-09-10,3,C,5m,3.2182,6.5915,3.3733
2023-09-10,4,,0m,,,0
2023-09-10,4,,5m,,,0
2023-09-10,5,,0m,3.1312,4.2716,1.1404
2023-09-10,5,,5m,3.0645,3.5241,0.4596
2023-09-10,6,,0m,,,0
2023-09-10,6,,5m,,,0
2023-09-10,7,,0m,3.1641,5.507,2.3429
2023-09-10,7,,5m,3.0945,5.4581,2.3636
2023-09-10,8,,0m,,,0
2023-09-10,8,,5m,,,0
2023-09-10,9,,0m,3.145,3.8866,0.7416
2023-09-10,9,,5m,3.0812,3.2039,0.1227
2023-09-10,10,,0m,,,0
2023-09-10,10,,5m,,,0
2023-09-10,11,,0m,,,0
2023-09-10,11,,5m,,,0
2023-09-10,12,,0m,,,0
2023-09-10,12,,5m,,,0
2023-10-14,1,,0m,,,0
2023-10-14,1,,5m,,,0
2023-10-14,2,,0m,3.1288,6.5637,3.4349
2023-10-14,2,,5m,3.0779,4.4479,1.37
2023-10-14,3,,0m,3.313,9.5723,6.2593
2023-10-14,3,,5m,3.2002,5.189,1.9888
2023-10-14,4,,0m,3.282,4.7704,1.4884
2023-10-14,4,,5m,3.1053,5.7497,2.6444
2023-10-14,5,,0m,3.2074,13.1946,9.9872
2023-10-14,5,,5m,3.2265,4.2325,1.006
2023-10-14,6,,0m,3.4537,5.4027,1.949
2023-10-14,6,,5m,3.4337,4.1423,0.7086
2023-10-14,7,C,0m,3.0583,7.5076,4.4493
2023-10-14,7,C,5m,3.0797,6.0591,2.9794
2023-10-14,8,C,0m,3.0338,5.078,2.0442
2023-10-14,8,C,5m,2.9345,6.6438,3.7093
2023-10-14,9,A,0m,3.0219,3.7258,0.7039
2023-10-14,9,A,5m,3.1434,3.4373,0.2939
