StartDate,Site,Status,Folder,Label,
2023-07-06,11,,11,11,
2023-07-11,11,,11,11,
2023-07-16,11,,11,11,
2023-07-21,11,,NA,NA,
2023-07-26,11,,11,11,
2023-07-31,11,,NA,NA,
2023-08-05,11,,11,11,
2023-08-10,11,,NA,NA,
2023-08-15,11,,NA,NA,
2023-08-20,11,,NA,NA,
2023-08-25,11,,NA,NA,
2023-08-30,11,,NA,NA,
2023-09-04,11,,NA,NA,
2023-09-09,11,,NA,NA,
2023-09-14,11,,NA,NA,
2023-09-19,11,,NA,NA,
2023-09-24,11,,NA,NA,
2023-09-29,11,,NA,NA,
2023-10-04,11,,NA,NA,
2023-10-09,11,,NA,NA,
2023-10-14,11,,NA,NA,
2023-10-19,11,ND?,NA,NA,
2023-10-24,11,,4,2,
2023-10-29,11,ND,NA,NA,
2023-11-03,11,ND?,NA,NA,
2023-11-08,11,,4,2,
2023-11-13,11,,4,2,
2023-11-18,11,,NA,NA,
2023-11-23,11,BC,NA,NA,
2023-11-28,11,,NA,NA,
2023-12-03,11,,NA,NA,
2023-06-21,12,,NA,NA,
2023-06-26,12,,12,12,
2023-07-01,12,,12,12,
2023-07-06,12,,12,12,
2023-07-11,12,,12,12,
2023-07-16,12,,12,12,
2023-07-21,12,B,NA,NA,
2023-07-26,12,B,NA,NA,
2023-07-31,12,,12,12,
2023-08-05,12,,12,12,
2023-08-10,12,,12,12,
2023-08-15,12,,12,12,
2023-08-20,12,,12,12,
2023-08-25,12,,12,12,
2023-08-30,12,,NA,NA,
2023-09-04,12,,NA,NA,
2023-09-09,12,,NA,NA,
2023-09-14,12,,NA,NA,
2023-09-19,12,,NA,NA,
2023-09-24,12,,NA,NA,
2023-09-29,12,,NA,NA,
2023-10-04,12,,NA,NA,
2023-10-09,12,,NA,NA,
2023-10-14,12,,NA,NA,
2023-10-19,12,ND?,4,4,
2023-10-24,12,,4,4,
2023-10-29,12,,2,12,
2023-11-03,12,,2,12,
2023-11-08,12,B,NA,NA,
2023-11-13,12,B,NA,NA,
2023-11-18,12,,NA,NA,
2023-11-23,12,,NA,NA,
2023-11-28,12,1,NA,NA,
2023-12-03,12,1,NA,NA,
