Timestamp,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1686888448,0,1,0,0,0.019778,0,0,0,0,3,0,0,0,0,0,3,0
1686888454,0,1,0,0,0.019778,0,0,0,0,3,0,0,0,0,0,3,0
1686888460,0,1,0,0,0.019778,0,0,0,0,3,0,0,0,0,0,2,0
1686888466,0,1,0,0,0.017159,0,0,0,0,3,0,0,0,0,0,3,0
1686888472,0,1,0,0,0.018385,0,0,0,0,3,0,0,0,0,0,3,0
1686888478,0,1,0,0,0.017751,0,0,0,0,3,0,0,0,0,0,3,0
1686888484,0,1,0,0,0.018385,0,0,0,0,3,0,0,0,0,0,3,0
1686888490,0,1,0,0,0.018385,0,0,0,0,2,0,0,0,0,0,3,0
1686888496,0,1,0,0,0.017159,0,0,0,0,3,0,0,0,0,0,3,0
1686888502,0,1,0,0,0.018385,0,0,0,0,3,0,0,0,0,0,2,0
1686888508,0,1,0,0,0.018385,0,0,0,0,3,0,0,0,0,0,3,0
1686888514,0,1,0,0,0.018385,0,0,0,0,3,0,0,0,0,0,3,0
1686888520,0,1,0,0,0.018385,0,0,0,0,2,0,0,0,0,0,3,0
1686888526,0,1,0,0,0.018385,0,0,0,0,3,0,0,0,0,0,3,0
1686888532,0,1,0,0,0.018385,0,0,0,0,3,0,0,0,0,0,3,0
1686888538,0,1,0,0,0.017159,0,0,0,0,3,0,0,0,0,0,3,0
1686888544,0,1,0,0,0.018385,0,0,0,0,3,0,0,0,0,0,2,0
1686888550,0,1,0,0,0.019778,0,0,0,0,3,0,0,0,0,0,3,0
1686888556,0,1,0,0,0.019118,0,0,0,0,3,0,0,0,0,0,3,0
1686888562,0,1,0,0,0.019118,0,0,0,0,3,0,0,0,0,0,3,0
1686888568,0,1,0,0,0.019778,0,0,0,0,3,0,0,0,0,0,3,0
1686888574,0,1,0,0,0.018385,0,0,0,0,3,0,0,0,0,0,2,0
1686888580,0,1,0,0,0.017751,0,0,0,0,2,0,0,0,0,0,3,0
1686888586,0,1,0,0,0.023302,0,0,0,0,4,0,0,0,0,0,4,0
1686888592,0,1,0,0,0.020607,0,0,0,0,3,0,0,0,0,0,4,0
1686888598,0,1,0,0,0.021895,0,0,0,0,3,0,0,0,0,0,4,0
1686888604,0,1,0,0,0.022617,0,0,0,0,3,0,0,0,0,0,3,0
1686888610,0,1,0,0,0.017751,0,0,0,0,3,0,0,0,0,0,3,0
1686888616,0,1,0,0,0.017751,0,0,0,0,2,0,0,0,0,0,2,0
1686888622,0,1,0,0,0.019065,0,0,0,0,2,0,0,0,0,0,2,0
1686888628,0,1,0,0,0.018385,0,0,0,0,3,0,0,0,0,0,2,0
1686888634,0,1,0,0,0.017751,0,0,0,0,3,0,0,0,0,0,2,0
1686888640,0,1,0,0,0.019065,0,0,0,0,3,0,0,0,0,0,2,0
1686888646,0,1,0,0,0.017751,0,0,0,0,2,0,0,0,0,0,2,0
1686888652,0,1,0,0,0.019065,0,0,0,0,2,0,0,0,0,0,3,0
1686888658,0,1,0,0,0.019065,0,0,0,0,2,0,0,0,0,0,3,0
1686888664,0,1,0,0,0.017751,0,0,0,0,3,0,0,0,0,0,3,0
1686888670,0,1,0,0,0.019065,0,0,0,0,2,0,0,0,0,0,2,0
1686888676,0,1,0,0,0.019065,0,0,0,0,2,0,0,0,0,0,2,0
1686888682,0,1,0,0,0.019065,0,0,0,0,2,0,0,0,0,0,2,0
1686888688,0,1,0,0,0.016399,0,0,0,0,2,0,0,0,0,0,2,0
1686888694,0,1,0,0,0.016399,0,0,0,0,2,0,0,0,0,0,3,0
1686888700,0,1,0,0,0.016399,0,0,0,0,3,0,0,0,0,0,3,0
1686888706,0,1,0,0,0.016399,0,0,0,0,2,0,0,0,0,0,3,0
1686888712,0,1,0,0,0.017660,0,0,0,0,2,0,0,0,0,0,2,0
1686888718,0,1,0,0,0.017660,0,0,0,0,2,0,0,0,0,0,2,0
1686888724,0,1,0,0,0.017660,0,0,0,0,2,0,0,0,0,0,3,0
1686888730,0,1,0,0,0.017660,0,0,0,0,3,0,0,0,0,0,2,0
1686888736,0,1,0,0,0.017660,0,0,0,0,2,0,0,0,0,0,2,0
1686888742,0,1,0,0,0.017660,0,0,0,0,2,0,0,0,0,0,2,0
1686888748,0,1,0,0,0.017660,0,0,0,0,2,0,0,0,0,0,2,0
1686888754,0,1,0,0,0.017006,0,0,0,0,2,0,0,0,0,0,2,0
1686888760,0,1,0,0,0.017006,0,0,0,0,2,0,0,0,0,0,2,0
1686888766,0,1,0,0,0.018366,0,0,0,0,2,0,0,0,0,0,2,0
1686888772,0,1,0,0,0.017006,0,0,0,0,2,0,0,0,0,0,2,0
1686888778,0,1,0,0,0.018366,0,0,0,0,2,0,0,0,0,0,2,0
1686888784,0,1,0,0,0.017660,0,0,0,0,2,0,0,0,0,0,2,0
1686888790,0,1,0,0,0.017006,0,0,0,0,3,0,0,0,0,0,2,0
1686888796,0,1,0,0,0.017006,0,0,0,0,2,0,0,0,0,0,2,0
1686888802,0,1,0,0,0.017006,0,0,0,0,2,0,0,0,0,0,2,0
1686888808,0,1,0,0,0.018366,0,0,0,0,2,0,0,0,0,0,2,0
1686888814,0,1,0,0,0.015643,0,0,0,0,2,0,0,0,0,0,2,0
1686888820,0,1,0,0,0.016269,0,0,0,0,2,0,0,0,0,0,2,0
1686888826,0,1,0,0,0.015643,0,0,0,0,2,0,0,0,0,0,2,0
1686888832,0,1,0,0,0.017006,0,0,0,0,2,0,0,0,0,0,2,0
1686888838,0,1,0,0,0.017006,0,0,0,0,2,0,0,0,0,0,2,0
1686888844,0,1,0,0,0.017006,0,0,0,0,2,0,0,0,0,0,2,0
1686888850,0,1,0,0,0.017006,0,0,0,0,2,0,0,0,0,0,2,0
1686888856,0,1,0,0,0.015643,0,0,0,0,2,0,0,0,0,0,2,0
1686888862,0,1,0,0,0.015643,0,0,0,0,2,0,0,0,0,0,2,0
1686888868,0,1,0,0,0.015643,0,0,0,0,2,0,0,0,0,0,1,0
1686888874,0,1,0,0,0.016947,0,0,0,0,2,0,0,0,0,0,2,0
1686888880,0,1,0,0,0.015643,0,0,0,0,2,0,0,0,0,0,2,0
1686888886,0,1,0,0,0.014299,0,0,0,0,2,0,0,0,0,0,2,0
1686888892,0,1,0,0,0.016269,0,0,0,0,2,0,0,0,0,0,1,0
1686888898,0,1,0,0,0.016269,0,0,0,0,2,0,0,0,0,0,2,0
1686888904,0,1,0,0,0.016269,0,0,0,0,2,0,0,0,0,0,1,0
1686888910,0,1,0,0,0.015542,0,0,0,0,2,0,0,0,0,0,2,0
1686888916,0,1,0,0,0.017684,0,0,0,0,2,0,0,0,0,0,2,0
1686888922,0,1,0,0,0.016269,0,0,0,0,2,0,0,0,0,0,2,0
1686888928,0,1,0,0,0.017684,0,0,0,0,2,0,0,0,0,0,1,0
1686888934,0,1,0,0,0.017684,0,0,0,0,2,0,0,0,0,0,2,0
1686888940,0,1,0,0,0.016269,0,0,0,0,2,0,0,0,0,0,2,0
