"Source:","/home/dchevalier/Documents/alan-setup/fab/kicad/controller_pcb/controller_pcb.kicad_sch"
"Date:","Sat 17 Feb 2024 03:52:16 PM"
"Tool:","Eeschema 6.0.2+dfsg-1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","52"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Category","DK_Datasheet_Link","DK_Detail_Page","Datasheet_1","Description","Digi-Key_PN","Family","Footprint_1","Height","MPN","Manufacturer","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Reference_1","Status","Value_1"
"","","COUTX2","C1005X5R1V105K050BC","C1005X5R1V105K050BC:C1005X5R1V105K050BC","","","C1005X5R1V105K050BC","https://www.arrow.com/en/products/c1005x5r1v105k050bc/tdk?region=nac","","","","https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_midvoltage_en.pdf","","","","CAPC1005X55N","0.55","","","TDK","C1005X5R1V105K050BC","810-C1005X5R1V105K","https://www.mouser.co.uk/ProductDetail/TDK/C1005X5R1V105K050BC?qs=dfay7wIA1uGr1NSDQs%2Ftnw%3D%3D","C","","C1005X5R1V105K050BC"
"","","COUTX2-2","C0603C105Z8VACTU","C0603C105Z8VACTU:C0603C105Z8VACTU","","","C0603C105Z8VACTU","https://www.arrow.com/en/products/c0603c105z8vactu/kemet-corporation?region=nac","","","","https://content.kemet.com/datasheets/KEM_C1005_Y5V_SMD.pdf","","","","C0603","0.87","","","KEMET","C0603C105Z8VACTU","80-C0603C105Z8V","https://www.mouser.co.uk/ProductDetail/KEMET/C0603C105Z8VACTU?qs=F2dscFSegBYhJ9ezd9GTzA%3D%3D","C","","C0603C105Z8VACTU"
"","","COUTX-2","C0805C106K8PACTU","C0805C106K8PACTU:C0805C106K8PACTU","","","C0805C106K8PACTU","https://www.arrow.com/en/products/c0805c106k8pactu/kemet-corporation?region=nac","","","","https://content.kemet.com/datasheets/KEM_C1006_X5R_SMD.pdf","","","","C0805","1.1","","","KEMET","C0805C106K8PACTU","80-C0805C106K8P","https://www.mouser.co.uk/ProductDetail/KEMET/C0805C106K8PACTU?qs=Zpyg6gQUYs39C21BeavaKA%3D%3D","C","","C0805C106K8PACTU"
"","","CVCC1","C1608X6S1C475K080AC","C1608X6S1C475K080AC:C1608X6S1C475K080AC","","","C1608X6S1C475K080AC","https://www.arrow.com/en/products/c1608x6s1c475k080ac/tdk?region=nac","","","","https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_midvoltage_en.pdf","","","","CAPC1608X80N","0.8","","","TDK","C1608X6S1C475K080AC","810-C1608X6S1C475K","https://www.mouser.co.uk/ProductDetail/TDK/C1608X6S1C475K080AC?qs=dfay7wIA1uELNO4%252B8xvBDw%3D%3D","C","","C1608X6S1C475K080AC"
"","","CVCC-2","C1608X6S1C475K080AC","C1608X6S1C475K080AC:C1608X6S1C475K080AC","","","C1608X6S1C475K080AC","https://www.arrow.com/en/products/c1608x6s1c475k080ac/tdk?region=nac","","","","https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_midvoltage_en.pdf","","","","CAPC1608X80N","0.8","","","TDK","C1608X6S1C475K080AC","810-C1608X6S1C475K","https://www.mouser.co.uk/ProductDetail/TDK/C1608X6S1C475K080AC?qs=dfay7wIA1uELNO4%252B8xvBDw%3D%3D","C","","C1608X6S1C475K080AC"
"","","J5V1","Screw_Terminal_01x06","Connector:Screw_Terminal_01x06","","~","","","","","","","","","","","","","","","","","","","",""
"","","JA5-11","Screw_Terminal_01x07","Connector:Screw_Terminal_01x07","","~","","","","","","","","","","","","","","","","","","","",""
"","","JA23","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","","~","","","","","","","","","","","","","","","","","","","",""
"","","JARRAY1","1935161","dk_Terminal-Blocks-Wire-to-Board:1935161","digikey-footprints:Terminal_Block_D1.3mm_P5mm","https://media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1935161.pdf","","","Connectors, Interconnects","https://media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1935161.pdf","/product-detail/en/phoenix-contact/1935161/277-1667-ND/568614","","TERM BLK 2POS SIDE ENTRY 5MM PCB","277-1667-ND","Terminal Blocks - Wire to Board","","","1935161","Phoenix Contact","","","","","","Active",""
"","","JGND1","Screw_Terminal_01x06","Connector:Screw_Terminal_01x06","","~","","","","","","","","","","","","","","","","","","","",""
