"","Date","Site","Status"
"375",2023-11-23,3,""
"376",2023-11-23,4,""
"377",2023-11-23,5,""
"378",2023-11-23,6,""
"379",2023-11-23,7,""
"380",2023-11-23,8,""
"381",2023-11-23,9,""
"382",2023-11-23,10,""
"383",2023-11-23,11,"BC"
"384",2023-11-23,12,""
"385",2023-11-28,1,"0"
"386",2023-11-28,2,"0"
"387",2023-11-28,3,"1"
"388",2023-11-28,4,"1"
"389",2023-11-28,5,"1"
"390",2023-11-28,6,"1"
"391",2023-11-28,7,"1"
"392",2023-11-28,8,"1"
"393",2023-11-28,9,"0"
"394",2023-11-28,10,"1"
"395",2023-11-28,11,"0"
"396",2023-11-28,12,"1"
"397",2023-12-03,1,"0"
"398",2023-12-03,2,"0"
"399",2023-12-03,3,"1"
"400",2023-12-03,4,"1"
"401",2023-12-03,5,"1"
"402",2023-12-03,6,"1"
"403",2023-12-03,7,"1"
"404",2023-12-03,8,"1"
"405",2023-12-03,9,"0"
"406",2023-12-03,10,"1"
"407",2023-12-03,11,"0"
"408",2023-12-03,12,"1"
